cell_id,distance_to_glacial_lake,glacial_lake_area,glacial_lake_area_change
CELL_000000,1480.262675552289,9658.086843564957,6.55930720278301
CELL_000001,1559.927608143154,44555.73179062367,25.034711372906145
CELL_000002,1514.722609965121,9658.086843564957,6.55930720278301
CELL_000003,1466.2206531328977,9658.086843564957,6.55930720278301
CELL_000004,1423.102744780703,9658.086843564957,6.55930720278301
CELL_000005,1385.8715094617542,9658.086843564957,6.55930720278301
CELL_000006,1355.0122727392109,9658.086843564957,6.55930720278301
CELL_000007,1486.0782007388548,9658.086843564957,6.55930720278301
CELL_000008,1429.6317138499476,9658.086843564957,6.55930720278301
CELL_000009,1378.1383296964589,9658.086843564957,6.55930720278301
CELL_000010,1332.172539243094,9658.086843564957,6.55930720278301
CELL_000011,1292.3242986371956,9658.086843564957,6.55930720278301
CELL_000012,1259.1745357108337,9658.086843564957,6.55930720278301
CELL_000013,1233.2635281701146,9658.086843564957,6.55930720278301
CELL_000014,1214.2054812581562,9658.086843564957,6.55930720278301
CELL_000015,1202.8899196387772,9658.086843564957,6.55930720278301
CELL_000016,1199.8305575432787,9658.086843564957,6.55930720278301
CELL_000017,1205.0902766468073,9658.086843564957,6.55930720278301
CELL_000018,1218.2895073945012,9658.086843564957,6.55930720278301
CELL_000019,1238.9509734796407,9658.086843564957,6.55930720278301
CELL_000020,1267.1896880656268,9658.086843564957,6.55930720278301
CELL_000021,1468.5473189806507,9658.086843564957,6.55930720278301
CELL_000022,1405.7569465118727,9658.086843564957,6.55930720278301
CELL_000023,1346.5916564993981,9658.086843564957,6.55930720278301
CELL_000024,1291.7923625280978,9658.086843564957,6.55930720278301
CELL_000025,1242.636683194013,9658.086843564957,6.55930720278301
CELL_000026,1199.8184633331614,9658.086843564957,6.55930720278301
CELL_000027,1164.0372689438332,9658.086843564957,6.55930720278301
CELL_000028,1135.958265968747,9658.086843564957,6.55930720278301
CELL_000029,1115.5014402432714,9658.086843564957,6.55930720278301
CELL_000030,1103.1739079744327,9658.086843564957,6.55930720278301
CELL_000031,1099.8372058112877,9658.086843564957,6.55930720278301
CELL_000032,1105.572741766273,9658.086843564957,6.55930720278301
CELL_000033,1119.8243543069404,9658.086843564957,6.55930720278301
CELL_000034,1142.2682589285369,9658.086843564957,6.55930720278301
CELL_000035,1172.8371439433026,9658.086843564957,6.55930720278301
CELL_000036,1535.3840561128645,9658.086843564957,6.55930720278301
CELL_000037,1462.6949068111885,9658.086843564957,6.55930720278301
CELL_000038,1393.3946250284896,9658.086843564957,6.55930720278301
CELL_000039,1327.6232528067114,9658.086843564957,6.55930720278301
CELL_000040,1265.742811938052,9658.086843564957,6.55930720278301
CELL_000041,1207.5552823766695,9658.086843564957,6.55930720278301
CELL_000042,1154.8195437066536,9658.086843564957,6.55930720278301
CELL_000043,1108.6147198474582,9658.086843564957,6.55930720278301
CELL_000044,1069.7873693388053,9658.086843564957,6.55930720278301
CELL_000045,1039.1647771788619,9658.086843564957,6.55930720278301
CELL_000046,1017.0506259031754,9658.086843564957,6.55930720278301
CELL_000047,1003.5144162887696,9658.086843564957,6.55930720278301
CELL_000048,999.8451838918332,9658.086843564957,6.55930720278301
CELL_000049,1006.1508832178004,9658.086843564957,6.55930720278301
CELL_000050,1021.65740107305,9658.086843564957,6.55930720278301
CELL_000051,1046.2093652930266,9658.086843564957,6.55930720278301
CELL_000052,1079.5018420014458,9658.086843564957,6.55930720278301
CELL_000053,1470.246575762278,9658.086843564957,6.55930720278301
CELL_000054,1394.165407756409,9658.086843564957,6.55930720278301
