event_id,cell_id,historical_landslide_density,landslide_label
MELAMCHI_2021,CELL_000000,0.0,0
MELAMCHI_2021,CELL_000001,0.0,0
MELAMCHI_2021,CELL_000002,0.0,0
MELAMCHI_2021,CELL_000003,0.0,0
MELAMCHI_2021,CELL_000004,0.0,0
MELAMCHI_2021,CELL_000005,0.0,0
MELAMCHI_2021,CELL_000006,0.0,0
MELAMCHI_2021,CELL_000007,0.0,0
MELAMCHI_2021,CELL_000008,0.0,0
MELAMCHI_2021,CELL_000009,0.0,0
MELAMCHI_2021,CELL_000010,0.0,0
MELAMCHI_2021,CELL_000011,0.0,0
MELAMCHI_2021,CELL_000012,0.0,0
MELAMCHI_2021,CELL_000013,0.0,0
MELAMCHI_2021,CELL_000014,0.0,0
MELAMCHI_2021,CELL_000015,0.0,0
MELAMCHI_2021,CELL_000016,0.0,0
MELAMCHI_2021,CELL_000017,0.0,0
MELAMCHI_2021,CELL_000018,0.0,0
MELAMCHI_2021,CELL_000019,0.0,0
MELAMCHI_2021,CELL_000020,0.0,0
MELAMCHI_2021,CELL_000021,0.0,0
MELAMCHI_2021,CELL_000022,0.0,0
MELAMCHI_2021,CELL_000023,0.0,0
MELAMCHI_2021,CELL_000024,0.0,0
MELAMCHI_2021,CELL_000025,0.0,0
MELAMCHI_2021,CELL_000026,0.0,0
MELAMCHI_2021,CELL_000027,0.0,0
MELAMCHI_2021,CELL_000028,0.0,0
MELAMCHI_2021,CELL_000029,0.0,0
MELAMCHI_2021,CELL_000030,0.0,0
MELAMCHI_2021,CELL_000031,0.0,0
MELAMCHI_2021,CELL_000032,0.0,0
MELAMCHI_2021,CELL_000033,0.0,0
MELAMCHI_2021,CELL_000034,0.0,0
MELAMCHI_2021,CELL_000035,0.0,0
MELAMCHI_2021,CELL_000036,0.0,0
MELAMCHI_2021,CELL_000037,0.0,0
MELAMCHI_2021,CELL_000038,0.0,0
MELAMCHI_2021,CELL_000039,0.0,0
MELAMCHI_2021,CELL_000040,0.0,0
MELAMCHI_2021,CELL_000041,0.0,0
MELAMCHI_2021,CELL_000042,0.0,0
MELAMCHI_2021,CELL_000043,0.0,0
MELAMCHI_2021,CELL_000044,0.0,0
MELAMCHI_2021,CELL_000045,0.0,0
MELAMCHI_2021,CELL_000046,0.0,0
MELAMCHI_2021,CELL_000047,0.0,0
MELAMCHI_2021,CELL_000048,0.0,0
MELAMCHI_2021,CELL_000049,0.0,0
MELAMCHI_2021,CELL_000050,0.0,0
MELAMCHI_2021,CELL_000051,0.0,0
MELAMCHI_2021,CELL_000052,0.0,0
MELAMCHI_2021,CELL_000053,0.0,0
MELAMCHI_2021,CELL_000054,0.0,0
MELAMCHI_2021,CELL_000055,0.0,0
MELAMCHI_2021,CELL_000056,0.0,0
MELAMCHI_2021,CELL_000057,0.0,0
MELAMCHI_2021,CELL_000058,0.0,0
MELAMCHI_2021,CELL_000059,0.0,0
MELAMCHI_2021,CELL_000060,0.0,0
MELAMCHI_2021,CELL_000061,0.0,0
MELAMCHI_2021,CELL_000062,0.0,0
MELAMCHI_2021,CELL_000063,0.0,0
MELAMCHI_2021,CELL_000064,0.0,0
MELAMCHI_2021,CELL_000065,0.0,0
MELAMCHI_2021,CELL_000066,0.0,0
MELAMCHI_2021,CELL_000067,0.0,0
MELAMCHI_2021,CELL_000068,0.0,0
MELAMCHI_2021,CELL_000069,0.0,0
MELAMCHI_2021,CELL_000070,0.0,0
MELAMCHI_2021,CELL_000071,0.0,0
MELAMCHI_2021,CELL_000072,0.0,0
MELAMCHI_2021,CELL_000073,0.0,0
MELAMCHI_2021,CELL_000074,0.0,0
MELAMCHI_2021,CELL_000075,0.0,0
MELAMCHI_2021,CELL_000076,0.0,0
MELAMCHI_2021,CELL_000077,0.0,0
MELAMCHI_2021,CELL_000078,0.0,0
MELAMCHI_2021,CELL_000079,0.0,0
MELAMCHI_2021,CELL_000080,0.0,0
MELAMCHI_2021,CELL_000081,0.0,0
MELAMCHI_2021,CELL_000082,0.0,0
MELAMCHI_2021,CELL_000083,0.0,0
MELAMCHI_2021,CELL_000084,0.0,0
MELAMCHI_2021,CELL_000085,0.0,0
MELAMCHI_2021,CELL_000086,0.0,0
MELAMCHI_2021,CELL_000087,0.0,0
MELAMCHI_2021,CELL_000088,0.0,0
MELAMCHI_2021,CELL_000089,0.0,0
MELAMCHI_2021,CELL_000090,0.0,0
MELAMCHI_2021,CELL_000091,0.0,0
MELAMCHI_2021,CELL_000092,0.0,0
MELAMCHI_2021,CELL_000093,0.0,0
MELAMCHI_2021,CELL_000094,0.0,0
MELAMCHI_2021,CELL_000095,0.0,0
MELAMCHI_2021,CELL_000096,0.0,0
MELAMCHI_2021,CELL_000097,0.0,0
MELAMCHI_2021,CELL_000098,0.0,0
MELAMCHI_2021,CELL_000099,0.0,0
MELAMCHI_2021,CELL_000100,0.0,0
MELAMCHI_2021,CELL_000101,0.0,0
MELAMCHI_2021,CELL_000102,0.0,0
MELAMCHI_2021,CELL_000103,0.0,0
MELAMCHI_2021,CELL_000104,0.0,0
MELAMCHI_2021,CELL_000105,0.0,0
MELAMCHI_2021,CELL_000106,0.0,0
MELAMCHI_2021,CELL_000107,0.0,0
MELAMCHI_2021,CELL_000108,0.0,0
MELAMCHI_2021,CELL_000109,0.0,0
MELAMCHI_2021,CELL_000110,0.0,0
MELAMCHI_2021,CELL_000111,0.0,0
MELAMCHI_2021,CELL_000112,0.0,0
MELAMCHI_2021,CELL_000113,0.0,0
MELAMCHI_2021,CELL_000114,0.0,0
MELAMCHI_2021,CELL_000115,0.0,0
MELAMCHI_2021,CELL_000116,0.0,0
MELAMCHI_2021,CELL_000117,0.0,0
MELAMCHI_2021,CELL_000118,0.0,0
MELAMCHI_2021,CELL_000119,0.0,0
MELAMCHI_2021,CELL_000120,0.0,0
MELAMCHI_2021,CELL_000121,0.0,0
MELAMCHI_2021,CELL_000122,0.0,0
MELAMCHI_2021,CELL_000123,0.0,0
MELAMCHI_2021,CELL_000124,0.0,0
MELAMCHI_2021,CELL_000125,0.0,0
MELAMCHI_2021,CELL_000126,0.0,0
MELAMCHI_2021,CELL_000127,0.0,0
MELAMCHI_2021,CELL_000128,0.0,0
MELAMCHI_2021,CELL_000129,0.0,0
MELAMCHI_2021,CELL_000130,0.0,0
MELAMCHI_2021,CELL_000131,0.0,0
MELAMCHI_2021,CELL_000132,0.0,0
MELAMCHI_2021,CELL_000133,0.0,0
MELAMCHI_2021,CELL_000134,0.0,0
MELAMCHI_2021,CELL_000135,0.0,0
MELAMCHI_2021,CELL_000136,0.0,0
MELAMCHI_2021,CELL_000137,0.0,0
MELAMCHI_2021,CELL_000138,0.0,0
MELAMCHI_2021,CELL_000139,0.0,0
