column,source,non_null_pct
cell_id,grid,100.0
event_id,key,100.0
date,rainfall/event tables,100.0
latitude,grid,100.0
longitude,grid,100.0
rainfall_1h,rainfall,100.0
rainfall_3h,rainfall,100.0
rainfall_6h,rainfall,100.0
rainfall_12h,rainfall,100.0
rainfall_24h,rainfall,100.0
rainfall_3day,rainfall,100.0
rainfall_7day,rainfall,100.0
elevation,terrain,100.0
slope,terrain,100.0
aspect,terrain,100.0
curvature,terrain,100.0
flow_accumulation,terrain,100.0
distance_to_river,terrain,100.0
river_gradient,terrain,100.0
ndwi_mean,ndwi,66.8
ndwi_change,ndwi,22.3
water_area,ndwi,66.8
water_area_change_pct,ndwi,0.0
sar_change,sar,48.0
historical_landslide_density,hazards,100.0
distance_to_glacial_lake,glacial_lakes,100.0
glacial_lake_area,glacial_lakes,100.0
glacial_lake_area_change,glacial_lakes,52.8
landslide_label,hazards,100.0
imerg_run,rainfall,100.0
window,key,100.0
obs_date_ndwi,ndwi,100.0
ndwi_valid_frac,ndwi,100.0
ndwi_n_obs,ndwi,100.0
scene_dates,ndwi,100.0
obs_date_sar,sar,50.0
sar_change_vh,sar,48.0
scene_dates_sar,sar,50.0
