cell_id,event_id,date,sar_change,sar_change_vh,scene_dates
CELL_000000,MELAMCHI_2021,2021-07-15,0.38627815,-1.1028805,2021-06-03/2021-06-27
CELL_000001,MELAMCHI_2021,2021-07-15,-0.30313206,2.9674654,2021-06-03/2021-06-27
CELL_000002,MELAMCHI_2021,2021-07-15,-0.010800362,4.2665644,2021-06-03/2021-06-27
CELL_000003,MELAMCHI_2021,2021-07-15,0.60746765,1.0195847,2021-06-03/2021-06-27
CELL_000004,MELAMCHI_2021,2021-07-15,2.1949406,1.4452076,2021-06-03/2021-06-27
CELL_000005,MELAMCHI_2021,2021-07-15,3.0372229,0.19496155,2021-06-03/2021-06-27
CELL_000006,MELAMCHI_2021,2021-07-15,,,2021-06-03/2021-06-27
CELL_000007,MELAMCHI_2021,2021-07-15,1.8747821,2.161625,2021-06-03/2021-06-27
CELL_000008,MELAMCHI_2021,2021-07-15,1.889916,2.7970047,2021-06-03/2021-06-27
CELL_000009,MELAMCHI_2021,2021-07-15,1.7828069,1.2520161,2021-06-03/2021-06-27
CELL_000010,MELAMCHI_2021,2021-07-15,1.3679848,0.92954063,2021-06-03/2021-06-27
CELL_000011,MELAMCHI_2021,2021-07-15,1.7729197,2.403099,2021-06-03/2021-06-27
CELL_000012,MELAMCHI_2021,2021-07-15,1.1543007,-0.12464142,2021-06-03/2021-06-27
CELL_000013,MELAMCHI_2021,2021-07-15,-0.10523844,1.0080643,2021-06-03/2021-06-27
CELL_000014,MELAMCHI_2021,2021-07-15,0.3488369,1.9496727,2021-06-03/2021-06-27
CELL_000015,MELAMCHI_2021,2021-07-15,,,2021-06-03/2021-06-27
CELL_000016,MELAMCHI_2021,2021-07-15,2.6399908,1.5682907,2021-06-03/2021-06-27
CELL_000017,MELAMCHI_2021,2021-07-15,2.419138,1.6373882,2021-06-03/2021-06-27
CELL_000018,MELAMCHI_2021,2021-07-15,0.65160847,3.4964848,2021-06-03/2021-06-27
CELL_000019,MELAMCHI_2021,2021-07-15,0.99251556,3.2216492,2021-06-03/2021-06-27
CELL_000020,MELAMCHI_2021,2021-07-15,1.122519,2.3460503,2021-06-03/2021-06-27
CELL_000021,MELAMCHI_2021,2021-07-15,3.5046015,2.27956,2021-06-03/2021-06-27
CELL_000022,MELAMCHI_2021,2021-07-15,4.6219306,2.2219372,2021-06-03/2021-06-27
CELL_000023,MELAMCHI_2021,2021-07-15,4.686384,3.8647938,2021-06-03/2021-06-27
CELL_000024,MELAMCHI_2021,2021-07-15,2.484805,2.601822,2021-06-03/2021-06-27
CELL_000025,MELAMCHI_2021,2021-07-15,2.4967031,1.8381977,2021-06-03/2021-06-27
CELL_000026,MELAMCHI_2021,2021-07-15,2.28197,2.4920025,2021-06-03/2021-06-27
CELL_000027,MELAMCHI_2021,2021-07-15,1.6306362,1.0894756,2021-06-03/2021-06-27
CELL_000028,MELAMCHI_2021,2021-07-15,1.1708179,2.7740726,2021-06-03/2021-06-27
CELL_000029,MELAMCHI_2021,2021-07-15,0.8756294,3.6138,2021-06-03/2021-06-27
CELL_000030,MELAMCHI_2021,2021-07-15,2.2853293,3.6448803,2021-06-03/2021-06-27
CELL_000031,MELAMCHI_2021,2021-07-15,3.3080578,3.1545296,2021-06-03/2021-06-27
CELL_000032,MELAMCHI_2021,2021-07-15,2.4842844,0.25377274,2021-06-03/2021-06-27
CELL_000033,MELAMCHI_2021,2021-07-15,1.1714315,4.623783,2021-06-03/2021-06-27
CELL_000034,MELAMCHI_2021,2021-07-15,1.0759206,3.4901314,2021-06-03/2021-06-27
CELL_000035,MELAMCHI_2021,2021-07-15,3.025043,2.503189,2021-06-03/2021-06-27
CELL_000036,MELAMCHI_2021,2021-07-15,3.6334248,3.1429977,2021-06-03/2021-06-27
CELL_000037,MELAMCHI_2021,2021-07-15,4.395103,3.2576637,2021-06-03/2021-06-27
CELL_000038,MELAMCHI_2021,2021-07-15,5.5026445,3.3162575,2021-06-03/2021-06-27
CELL_000039,MELAMCHI_2021,2021-07-15,3.5453796,2.7765656,2021-06-03/2021-06-27
CELL_000040,MELAMCHI_2021,2021-07-15,2.1454792,2.5954914,2021-06-03/2021-06-27
CELL_000041,MELAMCHI_2021,2021-07-15,1.987114,0.76626396,2021-06-03/2021-06-27
CELL_000042,MELAMCHI_2021,2021-07-15,2.9092827,1.2740993,2021-06-03/2021-06-27
CELL_000043,MELAMCHI_2021,2021-07-15,2.1462755,0.9805031,2021-06-03/2021-06-27
CELL_000044,MELAMCHI_2021,2021-07-15,3.5004864,3.361559,2021-06-03/2021-06-27
CELL_000045,MELAMCHI_2021,2021-07-15,2.2954206,4.6657467,2021-06-03/2021-06-27
CELL_000046,MELAMCHI_2021,2021-07-15,1.9438872,4.6865673,2021-06-03/2021-06-27
CELL_000047,MELAMCHI_2021,2021-07-15,-0.65384483,1.9997902,2021-06-03/2021-06-27
CELL_000048,MELAMCHI_2021,2021-07-15,-0.26369047,0.82004356,2021-06-03/2021-06-27
CELL_000049,MELAMCHI_2021,2021-07-15,3.657219,2.3267727,2021-06-03/2021-06-27
CELL_000050,MELAMCHI_2021,2021-07-15,4.1212354,4.403614,2021-06-03/2021-06-27
CELL_000051,MELAMCHI_2021,2021-07-15,2.9671555,4.8999615,2021-06-03/2021-06-27
